,date,WV,IA,MT,IN,GA,UT,LA,MD,OR,RI,DC,VA,MS,NM,KY,OK,NV,TX,NH,TN,VT,OH,CA,CO,ID,DE,HI,MI,SC,CT,ND,AR,AL,WY,NJ,IL,AZ,WA,KS,FL,NC,MO,ME,AK,NY,MN,MA,WI,SD,PA,NE
85,2004-02-01,71987.65180265752,116497.12944344766,205216.81165007033,116865.70055440323,128785.99354248615,206359.80060087502,125230.00699638043,270058.76555869327,191436.68638360073,286416.7726348438,448560.2420812888,237181.8707997154,85139.61616100963,181612.63539841422,92188.07575306144,71214.52813394107,303535.8133995779,148953.08913601513,233645.7506269327,100596.22880396288,158002.31728079313,122874.68156085555,402076.28816977417,260443.51969320822,150357.1903618779,256746.85608743707,439949.64971686277,155983.6910375546,136084.54119171703,290236.1391978618,179927.75414203704,74382.57109894737,110093.54643355845,161356.11008041952,353845.86377750314,185975.4220159752,184414.7054386162,223078.36757652834,147980.10133238742,197427.48429539936,143063.91636602159,141632.03368268884,191494.5317200456,191577.60716992486,235261.25403489146,187915.0887033806,400560.99013052246,172933.9143947265,124691.81083010597,152133.21728999002,121855.9922589079
86,2004-03-01,72539.78991292315,116880.13614479986,206240.46279133201,116854.4353801323,129315.99324319669,206557.70086496708,125536.43574821272,273791.0081456044,192564.35090156537,289762.0437278174,454902.70530631434,240220.48573849036,86130.76063798014,182032.0502819487,92515.2210785339,71396.99155566291,308199.72050289955,149169.07697339525,235580.05853139536,100952.74724924832,159500.8044494514,123180.84462523053,408161.037391848,260923.56160582718,151770.3468946628,259663.84979363283,447449.32838268136,156222.41301704,136619.12127290646,293116.1433501647,177353.82056295517,74742.13120231719,110607.55423195558,161891.39148479645,357792.3030079976,186233.77353326432,186013.76602880075,224247.366411959,147928.46504906393,199955.7609108169,143552.79771146172,141632.81759653986,193175.83190548883,192792.00506571025,237779.21305988778,188972.02566457927,403546.8702884946,172994.71260207734,126081.16300351644,153088.17384814098,121907.41294814226
87,2004-04-01,73130.0065135519,117289.55710141774,207334.71056302552,116842.39329729094,129882.54464740452,206769.2494231344,125863.99751741276,277780.64677299216,193769.78538628618,293338.02317203063,461682.57978823804,243468.66032821528,87190.2599064659,182356.10163727682,92864.92815059068,71592.03866164145,313185.2763719676,149399.9605236981,237647.7669809934,101333.85317351896,161102.6355607758,123508.12238370033,414665.4244913062,261436.70985724745,153280.9624986743,262782.01547956624,455466.2262668323,156477.59858131746,137190.56894590205,296194.7684784885,174602.37432324694,75126.48855419525,111157.01084403525,162578.35019919864,362010.9104612847,186509.94239657337,187723.10665968765,225496.98585672965,147873.2676427526,202658.40143074602,144075.39501175977,141633.65557341505,194973.08382785914,194090.15454051527,240470.82443143558,190101.8548299985,406738.67321598215,173059.70378924548,127566.33256819661,154108.98947926785,121962.37989180656
88,2004-05-01,73701.18386899908,117685.77093040277,208393.66001950312,116830.7396687348,130430.82019986374,206973.97383426415,126180.99277792891,281641.58738014154,194936.33488762894,296798.64844062406,468243.74864171277,246612.05509246522,88476.72421189319,182669.69972307826,93203.35434935532,71780.79392549164,318010.0078581624,149623.3962175396,239648.7751580237,101702.665358297,162652.79470076706,123824.84279512275,420959.9926520722,261933.30493926705,154742.84856707245,265799.59517563076,463224.51454181713,156724.5523531989,137743.5828229946,299174.0831188018,171939.68441385188,75498.4472818192,111688.74304927366,163243.14895507172,366093.43380317534,186777.20258687247,189377.3072702234,226706.29499683031,147819.85079793519,205273.85999841933,144581.13433462888,141634.46651877815,196712.3598817659,195346.4282258105,243075.60962970761,191195.23789330747,409827.514758712,173122.59848650498,129003.59343724193,155096.87557390673,122015.57370825588
89,2004-06-01,74291.40046962784,118095.19188702064,209487.90779119666,116818.69758589345,130997.37160407157,207185.52239243154,126508.55454712897,285631.2260075293,196141.76937234975,300374.6278848372,475023.6231236364,249860.2296821901,89806.07066083471,182993.75107840638,93553.0614214121,71975.84103147016,322995.56372723036,149854.27976784244,241716.48360762172,102083.77128256764,164254.62581209143,124152.12055359255,427464.3797515303,262446.45319068735,156253.46417108388,268917.7608615641,471241.4124259679,156979.73791747636,138315.03049599016,302252.70824712556,169188.23817414363,75882.80463369726,112238.19966135331,163930.10766947395,370312.0412564624,187053.37145018156,191086.6479011103,227955.91444160097,147764.65339162387,207976.50051834836,145103.73163492692,141635.30449565337,198509.61180413622,196644.5777006155,245767.22100125538,192325.06705872668,413019.3176861995,173187.58967367312,130488.76300192207,156117.6912050336,122070.54065192016
90,2004-07-01,74862.57782507503,118491.40571600567,210546.85724767423,116807.0439573373,131545.64715653076,207390.24680356123,126825.54980764513,289492.1666146787,197308.31887369245,303835.25315343065,481584.7919771111,253003.62444644008,91092.53496626198,183307.34916420782,93891.48762017673,72164.59629532036,327820.29521342524,150077.71546168393,243717.49178465203,102452.58346734568,165804.78495208276,124468.84096501494,433758.9479122962,262943.0482727069,157715.35023948207,271935.34055762866,478999.70070095273,157226.6916893578,138868.04437308267,305232.0228874389,166525.5482647486,76254.7633613212,112769.93186659171,164594.906425347,374394.5645983532,187320.63164048066,192740.84851164604,229165.2235817016,147711.23654680644,210591.9590860217,145609.470957796,141636.11544101647,200248.887858043,197900.85138591073,248372.00619952744,193418.45012203566,416108.1592289293,173250.48437093262,131926.0238709674,157105.57729967253,122123.73446836948
91,2004-08-01,75452.79442570379,118900.82667262355,211195.7120177841,116795.00187449594,132112.1985607386,207601.7953617286,127153.11157684517,293481.8052420665,198513.75335841332,307411.23259764386,488364.6664590349,256251.79903616503,92421.88141520353,183631.40051953594,94241.19469223352,72359.64340129889,332805.8510824933,150308.59901198678,245785.20023425005,102833.68939161632,167406.6160634071,124796.11872348476,440263.3350117545,263456.19652412715,159225.96584349353,275053.50624356203,487016.5985851037,157481.8772536353,139439.4920460783,308310.6480157627,163774.10202504037,76639.12071319927,113319.38847867138,165281.8651397492,378613.1720516403,187596.8005037897,194450.18914253297,230414.84302647228,147656.03914049512,213294.5996059508,146132.06825809405,141636.9534178917,202046.13978041333,199199.00086071584,251063.6175710752,194548.27928745493,419299.96215641685,173315.47555810076,133411.19343564755,158126.3929307994,122178.70141203378
92,2004-09-01,76043.01102633255,119310.2476292414,211844.56678789397,116782.95979165459,132678.74996494642,207813.34391989597,127480.67334604521,297471.44386945415,199719.18784313413,310987.2120418571,495144.5409409587,259499.97362588992,93751.22786414505,183955.45187486408,94590.9017642903,72554.69050727742,337791.4069515612,150539.48256228966,247852.90868384804,103214.79531588695,169008.44717473147,125123.39648195457,446767.72211121256,263969.34477554745,160736.581447505,278171.67192949535,495033.4964692547,157737.06281791275,140010.9397190739,311389.2731440866,161022.65578533214,77023.47806507733,113868.84509075107,165968.8238541514,382831.77950492734,187872.96936709882,196159.52977341998,231664.462471243,147600.8417341838,215997.24012587988,146654.66555839212,141637.79139476691,203843.39170278364,200497.15033552086,253755.228942623,195678.10845287418,422491.7650839044,173380.4667452689,134896.36300032772,159147.20856192627,122233.66835569807
93,2004-10-01,76614.18837390475,118569.25935643114,212472.49075896802,116704.20402102177,133227.02552041024,208018.06834241244,127671.92519687937,301763.08857942227,201627.633497879,314447.83100231946,501705.7112616634,261221.92414119226,95037.69216957239,184269.0499606655,94711.21110673546,72677.21731046868,341148.83892076876,149186.2726610273,249853.91684267967,103764.4120563515,170558.60655685357,125090.86672495144,453062.29026781546,264140.9730041345,162198.4683370171,281189.2516357529,503230.55126547976,157823.98559636174,140675.46933548406,314368.59248969593,158359.96587593708,77466.98829077357,114400.57730138446,166633.62261002447,387180.50907799735,187704.8630518102,200960.23567178057,232873.77172877494,147254.1313044604,220496.47943528442,147218.68134436492,141314.8614929846,205386.69220633814,201861.8262278025,256284.4202570422,195622.28410869138,424889.64541822235,172788.9276554216,135633.04608446467,159415.41084777232,122132.10310633646
94,2004-11-01,77204.40496639605,117803.5714745272,213121.34552907787,116622.82305803451,133793.57692772284,208229.61691234613,127869.55210940799,306197.788113056,203599.69400778203,318023.80392813066,508485.5872597251,263001.2730070047,96367.03861851389,184593.1013159936,94835.53076059544,72803.82834043298,344618.18528894987,147787.95576305612,251921.62527347243,104332.34935483152,172160.43791837976,125057.25264271488,459566.6773629719,264318.3221736744,163709.084789513,284307.4173322191,511700.84122157894,157913.80580075906,141362.14993910794,317447.22248015896,155608.51963622888,77925.2821906597,114950.03391903898,167320.58132442663,391674.196303503,187531.15319267867,205920.96510008656,234123.39129489125,146895.8638604129,225145.6933883359,147801.49765653678,140981.1672611429,206981.43606001115,203271.9913164936,258897.91794860872,195564.5989530358,427367.45509701764,172177.67059591273,136394.28527140617,159692.55320981325,122027.15234866283
95,2004-12-01,77775.58231396826,117062.58320171692,213749.26950015192,116544.06728740167,134341.85248318664,208434.3413348626,128060.80396024215,310489.4328230241,205508.13966252693,321484.4228885931,515046.75758042996,264723.2235223071,97653.50292394118,184906.69938512528,94955.8401030406,72926.35514362423,347975.6172581574,146434.74586179372,253922.63343230408,104881.96609529604,173710.5973005019,125024.72288571177,465861.2455195749,264489.9504022614,165170.97167902513,287324.9970384766,519897.89601780416,158000.72857920805,142026.67955551812,320426.54182576836,152945.82972683382,78368.79241635594,115481.76612967238,168673.23040415876,396022.9258765731,187363.0468773901,210721.6709984472,235332.70055242316,146549.15343068953,229644.93269774053,148365.5134425096,140658.2373593606,208524.73656356568,204636.66720877524,261427.10926302793,195508.77460885304,429765.3354313357,171586.13150606543,137130.96835554315,159960.75549565928,121925.58709930124
96,2005-01-01,78365.79890645956,116296.89531981296,214398.1242702618,116462.68632441443,134908.40389049926,208645.88990479626,128258.43087277078,314924.1323566578,207480.20017242996,325060.39581440424,521826.63357849163,266502.57238811953,98982.84939156868,185230.750723228,95080.15975690058,73052.96617358853,351444.9636263386,145036.42896382255,255990.34186309678,105449.90339377607,175312.42866202808,124991.10880347522,472365.6326147312,264667.2995718014,166681.588131521,290443.16273494274,528368.1859739034,158090.54878360537,142713.36015914197,323505.1718162314,150194.3834871256,78827.08631624206,116031.22274732687,170070.96778654866,400516.6131020788,187189.33701825852,215682.4004267532,236582.32011853947,146190.885986642,234294.14665079198,148948.3297546815,140324.54312751887,210119.4804172387,206046.83229746635,264040.60695459443,195451.08945319746,432243.145110131,170974.87444655655,137892.20754248468,160237.89785770018,121820.63634162759
