,RegionName,State,year_pct_roi,5_year_pct_roi,total_pct_roi,acc_2019
5188,72946,AR,0.048686618015100214,0.25174781288047093,1.549870880315001,-0.02238069466208099
5246,25123,WV,0.025983033005139638,0.2328010833494546,1.0440425374423252,-0.028704459332927843
5273,72437,AR,0.046098821035898796,0.14468881363079314,1.0521379636191825,-0.012845776800307506
5274,72858,AR,0.05485148363763991,0.2588390621443205,1.2417667947657731,-0.015604168484776302
5277,26444,WV,0.029591242575986956,0.17653869186239937,2.4943678115489507,-0.012699391087869384
5391,26588,WV,0.04384752788918472,0.25963884821864325,1.1237942857142857,-0.008729891291517019
5398,72519,AR,0.055130885151789336,0.36612625228913065,1.3668260818849878,-0.05829954269507043
5467,72722,AR,0.12220326128175958,0.5317486387752461,1.267624521072797,-0.046878726667506435
5498,26547,WV,0.0544268854391216,0.19160328087209505,2.0540370578326783,-0.009317673683429277
5500,72644,AR,0.060367003944434915,0.2809198259788689,1.1915331959859108,-0.027620463028945417
5520,29638,SC,0.04639100696381708,0.3103885517616158,1.4308962603811628,-0.00452025399117654
5534,72944,AR,0.048139835263726255,0.2033815896631781,1.2133515169129647,-0.01319072189665963
5644,72952,AR,0.04981158834733709,0.23462273207722817,1.2903452121822663,-0.01912360353482101
5665,26542,WV,0.0539617248230906,0.17898225775004875,1.7083799883549067,-0.0056516108037587675
5677,19941,DE,0.04325165497480486,0.23302348393726718,1.7531158740091781,-0.01625143333959895
5700,72642,AR,0.04168710849455714,0.10173939854260511,1.0455732257298838,-0.008071452579653363
5722,72738,AR,0.07603256900391721,0.2805528020801908,1.3713852456835776,-0.035959910972835275
5735,96714,HI,0.07726510812345269,0.2278453011920903,1.996723099196085,-0.02116050701805068
5813,72940,AR,0.07694061124651505,0.4092421356951105,1.3681440496616606,-0.0070805802658620316
5835,29712,SC,0.06736194221234398,0.3829868033798538,2.497012536676447,-0.021190782494828097
5920,72562,AR,0.052123802123802125,0.24767725785893085,1.006346619252235,-0.03015064497644651
5922,96705,HI,0.06824228468038736,0.23973609487222314,1.612539724043606,-0.011304131183799485
5951,72434,AR,0.04220143571894714,0.40950917738587517,1.1935139259824494,-0.036703737398005455
5952,25825,WV,0.025014776449845223,0.10520858087234548,1.2267731615486734,-0.022330855359796304
5967,72645,AR,0.10484765097981592,0.7533334746571132,2.065149718351616,-0.01876891503355663
5978,72843,AR,0.07478487318840579,0.36753922175961273,1.2047893343243368,-0.011642611291895538
5990,72658,AR,0.07731334292694354,0.20994076435036232,1.3285110815346335,-0.041516394002722
6002,96796,HI,0.0637042172838671,0.1979716941829046,1.865340705268732,-0.021761872881066957
6081,72070,AR,0.07408014526013164,0.1559527202160431,1.134648155573376,-0.09685871597965544
6084,71937,AR,0.05772757475083057,0.30040681621383175,1.3367388879102813,-0.06107789493234006
6133,96716,HI,0.0676389421553751,0.23252523551138757,1.6916678052317944,-0.008152715870271705
6172,72611,AR,0.05253960650735359,0.3314444731202101,1.5107278882776132,-0.037877867455844136
6232,71740,AR,0.09565953196742916,0.3817020904399545,1.757278503106891,-0.012021289464176143
6341,72626,AR,0.03789852375635777,0.187990876900276,1.1439164624673681,-0.013468704274792492
6348,72675,AR,0.08075193745904788,0.7070106882215442,1.9468334154756037,-0.0603662649167617
6364,26763,WV,0.02981734560803772,0.1351808848172438,1.3696752312800753,-0.020612311261456646
6367,72633,AR,0.04523970917329817,0.34695464879741533,1.1028395292359425,-0.01756172954599736
6386,72063,AR,0.04222055012122732,0.27927845748623165,1.0852352984908185,-0.0384764927686853
6390,71229,LA,0.03561865244976238,0.17385122294683017,1.0615890700410593,-0.008464722730950995
6396,29916,SC,0.05005070343734337,0.2154537359345908,2.1126736231082854,-0.03352418720499506
6410,72157,AR,0.0473958270408718,0.09704523884846568,1.2449698319393014,-0.060748588227381974
6434,26374,WV,0.03285566064688811,0.1924585951876671,1.0510921659674217,-0.02128189422453611
6482,72466,AR,0.07111460354099648,0.3063687686248671,1.5933588988971135,-0.027480266880237563
6491,71945,AR,0.04724649223489728,0.2801511854312221,1.186049922988534,-0.018357110939496785
6513,72459,AR,0.03407210044003068,0.4036898346880994,1.253122617721222,-0.00015489108595873567
6532,72534,AR,0.0632593505481857,0.31557217866647486,1.0468218442256043,-0.019254640874785692
6601,25865,WV,0.03475608936896269,0.18361199901647407,1.1748461060597504,-0.01164217110533589
6637,25625,WV,0.06036356250634711,0.20002298586369383,1.2856705047940107,-0.03505049414845713
6649,25844,WV,0.013238344797466972,0.1024948024948025,1.0604462699822381,-0.02309104232047176
6657,29639,SC,0.06892340720113874,0.30053848410572837,1.5375581653002437,-0.025672628351268663
6779,26410,WV,0.027504626842375188,0.1521565195649456,2.5377144831292466,-0.0017814285740760632
6790,72469,AR,0.042889613598181636,0.2851153404544031,1.227714113389626,-0.0070426755405299905
6793,72773,AR,0.07923164392462638,0.25213204044516063,1.132825040128411,-0.0430905515194353
6812,25843,WV,0.02102610544552506,0.1052811048122416,1.617178037949132,-0.005491189921295186
6866,26717,WV,0.007314193566965186,0.11271570576540756,1.2696512570965126,-0.006231237314919172
6925,72550,AR,0.05567868342253554,0.28955099219492525,1.3573590965330244,-0.03958848086649766
6942,72544,AR,0.051451080626375045,0.19329698171403392,1.2568620983003178,-0.003747004693816153
6956,72531,AR,0.061806643926123964,0.3188762608189478,1.7588829447460874,-0.01339313289813778
7023,25617,WV,0.04911777275779962,0.18960175842434102,1.4155332981901247,-0.02412866434162023
7060,71935,AR,0.11486321941716049,0.4389187678983027,1.1194444444444445,-0.13651667272807516
7076,72347,AR,0.026551833624384822,0.08505506030414263,1.1097063621533443,-0.003913327259707532
7106,72458,AR,0.05455917195007346,0.23388208328816343,1.111997667267522,-0.04298790784298378
7195,26032,WV,0.04231412230532336,0.2527919962773383,1.1193888322330166,-0.02543797458038677
7216,71944,AR,0.06019434946913802,0.29873613050187375,1.1587175572519084,-0.0299508492138985
7218,29943,SC,0.07374503117058019,0.3832356274397325,1.0085735763190509,-0.07253292290830901
7256,72660,AR,0.05103170009193367,0.2528004383294777,1.0933674680410972,-0.0810704888372762
7298,72141,AR,0.041597583410933704,0.3285196987253766,1.1493918871417523,-0.013454510321395578
7377,72617,AR,0.0519732403867776,0.5564242789711172,1.4270428015564203,-0.05393300117397725
7407,72430,AR,0.07859405641876603,0.2713048337524448,1.2438915041470522,-0.020523005863667083
7457,71972,AR,0.06616168469879964,0.27404065867645544,1.4229561511719189,-0.030453107452117694
7464,72181,AR,0.0671460517036653,0.19610187812457777,1.4684484970163405,-0.03860681508350669
7551,72572,AR,0.019370805151727177,0.21251772393810492,1.1082348527480772,-0.037909228882484235
7560,25062,WV,0.013394221301734968,0.08502826399113002,1.0676457344740398,-0.02024901948896165
7579,72553,AR,0.037100174136192834,0.3183353915697742,1.015208719190768,-0.035194136660393116
7637,25920,WV,0.08097307296302113,0.19073066646162126,1.418514758706856,-0.039984105927784855
