,name,pop,lat,lon,2019
1293,Freeport ,25432.0,42.2966861,-89.6212271,251056.910814378
1382,Elk River ,23258.0,45.30385379999999,-93.5671825,251047.5092642548
1973,Tomball ,10935.0,30.0739465,-95.62794721,251045.27510017532
661,National City ,59145.0,32.6781085,-117.0991967,250963.0096206445
763,Burlington ,25494.0,44.4723989,-73.2114941,250711.85596718546
761,Burlington ,51120.0,44.4723989,-73.2114941,250711.85596718546
762,Burlington ,42410.0,44.4723989,-73.2114941,250711.85596718546
764,Burlington ,10509.0,44.4723989,-73.2114941,250711.85596718546
765,Burlington ,9898.0,44.4723989,-73.2114941,250711.85596718546
766,Burlington ,8453.0,44.4723989,-73.2114941,250711.85596718546
460,Danbury ,82176.0,41.394816999999996,-73.45401109999999,250464.02083932539
480,Merced ,79831.0,37.3029568,-120.48432690000001,250347.8656711891
1188,Matthews ,27967.0,35.1168131,-80.7236804,250191.17509640878
912,Linden ,40650.0,33.0123537,-94.3654707,250100.8400155185
540,Waukesha ,70709.0,43.0116784,-88.2314813,249978.81146968761
1656,Punta Gorda ,16640.0,26.9297836,-82.0453664,249818.29950966468
1524,Norwood ,19105.0,45.0696839,-89.04196248,249662.3152921329
633,Haverhill ,61463.0,42.7762015,-71.0772796,249572.577329538
840,Wauwatosa ,46496.0,43.049412200000006,-88.00792709999999,249238.25117779488
140,Richmond ,36833.0,37.53850870000001,-77.43428,248929.1036089645
138,Richmond ,206977.0,37.53850870000001,-77.43428,248929.1036089645
139,Richmond ,105404.0,37.53850870000001,-77.43428,248929.1036089645
141,Richmond ,32489.0,37.53850870000001,-77.43428,248929.1036089645
142,Richmond ,11676.0,37.53850870000001,-77.43428,248929.1036089645
547,Apple Valley ,49790.0,44.7319094,-93.21772,248904.49189364372
546,Apple Valley ,70150.0,44.7319094,-93.21772,248904.49189364372
358,West Palm Beach ,101349.0,26.7153425,-80.0533746,248716.50135278702
287,Thornton ,121885.0,39.95782075,-104.96698870000002,247444.0298119336
833,East Providence ,47069.0,41.813711600000005,-71.37005450000001,247333.3920649209
1367,Champlin ,23478.0,45.1888539,-93.3974538,246391.35619587929
1900,Heber ,11735.0,32.729956,-115.52572620000001,246180.85403418
2253,Selah ,7266.0,46.6540065,-120.5302727,245936.0001363261
1938,Platteville ,11232.0,40.214982899999995,-104.8227494,245835.0033213917
1095,West Bend ,31416.0,43.4252776,-88.1834277,245624.3314676589
1813,Wixom ,13569.0,42.5247729,-83.5363339,245374.55217669546
645,Burnsville ,60655.0,44.7677424,-93.27772259999999,245191.60426360965
1752,Front Royal ,14513.0,38.917853799999996,-78.1917718,245188.27253667518
1196,Alton ,14350.0,38.890603799999994,-90.1842764,244456.4456761532
1195,Alton ,27676.0,38.890603799999994,-90.1842764,244456.4456761532
542,Union City ,67686.0,37.5963232,-122.08162970000001,244255.32121164535
543,Union City ,20036.0,37.5963232,-122.08162970000001,244255.32121164535
544,Union City ,10893.0,37.5963232,-122.08162970000001,244255.32121164535
541,Union City ,70666.0,37.5963232,-122.08162970000001,244255.32121164535
1107,Gallatin ,31072.0,37.750950700000004,-88.22645190000001,244201.49253415922
1409,Hudson ,12867.0,40.7322695,-74.07663000000001,244178.6508901423
1408,Hudson ,22265.0,40.7322695,-74.07663000000001,244178.6508901423
